Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Latitude,Longitude,Upper_dam_altitude__m_,Minimum_head__m_,Reservoir_level_variation__m_,Dam_height__m_,Dam_length__km_,Tunnel_length__km_,Land_requirement__km2_,River_Strahler__1_12_,River_discharge__m3_s_,River_seasonality,Annual_variability,Pump_flow__m3_s_,Dam_cost__USD_,Tunnel_cost__USD_,Escavation_cost__USD_,Turbine_cost__USD_,Miscellaneous_cost__USD_,Eletrotecnical_cost__USD_,Land_cost__USD_,Water_storage_cost__USD_m3_,Water_storage__km3_,Energy_storage_cost_without_cascade__USD_MWh_,Energy_storage_without_cascade__TWh_,Energy_storage_with_cascade__TWh_,Installed_capacity_costs__USD_GW_,Installed_capacity__GW_
"1.832124737",Latitude: 32.12083333<br>Longitude: 98.575<br>Upper dam altitude (m): 3836<br>Minimum head (m): 697<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.761<br>Tunnel length (km): 18<br>Land requirement (km2): 79.433<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.266<br>Annual variability: 0.44<br>Pump flow (m3/s): 162.501<br>Dam cost (USD): 0.179<br>Tunnel cost (USD): 0.336<br>Escavation cost (USD): 0.055<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.359<br>Water storage cost (USD/m3): 0.014<br>Water storage (km3): 6.439<br>Energy storage cost without cascade (USD/MWh): 7.477<br>Energy storage without cascade (TWh): 11.796<br>Energy storage with cascade (TWh): 48.14<br>Installed capacity costs (USD/GW): 0.646<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.12083333","98.575","3836.0","697.0","100.0","100.0","0.7606552943","18.0","79.43293004","8.0","951.2257677","1.265994011","0.4396025769","162.5008755","0.1785275205","0.3357439936","0.0551676082","0.0795978514","0.00795978514","0.1678008759","0.3592935731","0.01369823144","6.438636484","7.477129146","11.79569471","48.13969867","0.6462701143","1.0"
"1.968909634",Latitude: 32.12083333<br>Longitude: 98.64166667<br>Upper dam altitude (m): 3833<br>Minimum head (m): 599<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.38<br>Tunnel length (km): 24<br>Land requirement (km2): 79.257<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.297<br>Annual variability: 0.527<br>Pump flow (m3/s): 189.087<br>Dam cost (USD): 0.141<br>Tunnel cost (USD): 0.429<br>Escavation cost (USD): 0.057<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.358<br>Water storage cost (USD/m3): 0.014<br>Water storage (km3): 6.355<br>Energy storage cost without cascade (USD/MWh): 8.946<br>Energy storage without cascade (TWh): 10.115<br>Energy storage with cascade (TWh): 45.958<br>Installed capacity costs (USD/GW): 0.741<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.12083333","98.64166667","3833.0","599.0","100.0","100.0","0.3803276472","24.0","79.25719347","8.0","951.2257677","1.297489108","0.5269318733","189.0869953","0.1412742922","0.4294472309","0.05655514021","0.0795978514","0.00795978514","0.1678008759","0.3584986758","0.01423902059","6.35481014","8.945948735","10.11477654","45.9575548","0.7413608836","1.0"
"2.004316847",Latitude: 31.95833333<br>Longitude: 98.64166667<br>Upper dam altitude (m): 3812<br>Minimum head (m): 644<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.924<br>Tunnel length (km): 21<br>Land requirement (km2): 74.337<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.155<br>Annual variability: 0.478<br>Pump flow (m3/s): 175.874<br>Dam cost (USD): 0.181<br>Tunnel cost (USD): 0.382<br>Escavation cost (USD): 0.056<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.336<br>Water storage cost (USD/m3): 0.015<br>Water storage (km3): 5.838<br>Energy storage cost without cascade (USD/MWh): 8.61<br>Energy storage without cascade (TWh): 9.937<br>Energy storage with cascade (TWh): 42.685<br>Installed capacity costs (USD/GW): 0.694<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"31.95833333","98.64166667","3812.0","644.0","100.0","100.0","0.9241325063","21.0","74.33656948","8.0","951.2257677","1.155025429","0.4777165636","175.8743947","0.1810926594","0.3823750904","0.05588657278","0.0795978514","0.00795978514","0.1678008759","0.3362415518","0.01465434816","5.838144621","8.609898247","9.936726481","42.68496972","0.6936201757","1.0"
"2.004630144",Latitude: 32.05416667<br>Longitude: 98.6875<br>Upper dam altitude (m): 3810<br>Minimum head (m): 691<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.38<br>Tunnel length (km): 24<br>Land requirement (km2): 73.634<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.278<br>Annual variability: 0.498<br>Pump flow (m3/s): 163.912<br>Dam cost (USD): 0.141<br>Tunnel cost (USD): 0.435<br>Escavation cost (USD): 0.055<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.333<br>Water storage cost (USD/m3): 0.015<br>Water storage (km3): 5.757<br>Energy storage cost without cascade (USD/MWh): 8.189<br>Energy storage without cascade (TWh): 10.462<br>Energy storage with cascade (TWh): 42.737<br>Installed capacity costs (USD/GW): 0.745<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.05416667","98.6875","3810.0","691.0","100.0","100.0","0.3803276472","24.0","73.6336232","8.0","951.2257677","1.277865413","0.4984167344","163.9118816","0.1412742922","0.4345192328","0.05524565137","0.0795978514","0.00795978514","0.1678008759","0.3330619627","0.01488180788","5.756778589","8.188954718","10.46180812","42.73669796","0.7451233967","1.0"
"2.028364205",Latitude: 32.05416667<br>Longitude: 98.65416667<br>Upper dam altitude (m): 3789<br>Minimum head (m): 670<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.38<br>Tunnel length (km): 21<br>Land requirement (km2): 65.725<br>River Strahler (1-12): 8<br>River discharge (m3/s): 951.226<br>River seasonality: 1.278<br>Annual variability: 0.498<br>Pump flow (m3/s): 169.049<br>Dam cost (USD): 0.141<br>Tunnel cost (USD): 0.384<br>Escavation cost (USD): 0.056<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.297<br>Water storage cost (USD/m3): 0.015<br>Water storage (km3): 5.122<br>Energy storage cost without cascade (USD/MWh): 8.433<br>Energy storage without cascade (TWh): 9.045<br>Energy storage with cascade (TWh): 37.604<br>Installed capacity costs (USD/GW): 0.695<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.05416667","98.65416667","3789.0","670.0","100.0","100.0","0.3803276472","21.0","65.72547751","8.0","951.2257677","1.277865413","0.4984167344","169.0494182","0.1412742922","0.3838084823","0.05552534496","0.0795978514","0.00795978514","0.1678008759","0.2972915849","0.01489085752","5.122193832","8.432924181","9.044769868","37.60363073","0.6946923397","1.0"
"2.168811975",Latitude: 32.90833333<br>Longitude: 78.67083333<br>Upper dam altitude (m): 4977<br>Minimum head (m): 839<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 1.386<br>Tunnel length (km): 27<br>Land requirement (km2): 83.826<br>River Strahler (1-12): 7<br>River discharge (m3/s): 886.071<br>River seasonality: 1.043<br>Annual variability: 0.332<br>Pump flow (m3/s): 134.998<br>Dam cost (USD): 0.335<br>Tunnel cost (USD): 0.492<br>Escavation cost (USD): 0.054<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.379<br>Water storage cost (USD/m3): 0.021<br>Water storage (km3): 5.103<br>Energy storage cost without cascade (USD/MWh): 9.454<br>Energy storage without cascade (TWh): 11.127<br>Energy storage with cascade (TWh): 48.502<br>Installed capacity costs (USD/GW): 0.801<br>Installed capacity (GW): 1,,,,,-1,0,-1,,,"32.90833333","78.67083333","4977.0","839.0","100.0","100.0","1.386198759","27.0","83.82634431","7.0","886.0712662","1.043133466","0.3320263071","134.9977476","0.3351041426","0.4922315513","0.05352586262","0.0795978514","0.00795978514","0.1678008759","0.3791660053","0.02061223286","5.103390018","9.45397094","11.12678091","48.50225129","0.8011159264","1.0"
"2.18208892","Latitude: 29.40833333<br>Longitude: 86.20416667<br>Upper dam altitude (m): 4796<br>Minimum head (m): 396<br>Reservoir level variation (m): 50<br>Dam height (m): 50<br>Dam length (km): 1.385<br>Tunnel length (km): 24<br>Land requirement (km2): 153.126<br>River Strahler (1-12): 8<br>River discharge (m3/s): 1,929.408<br>River seasonality: 1.383<br>Annual variability: 0.365<br>Pump flow (m3/s): 286.018<br>Dam cost (USD): 0.126<br>Tunnel cost (USD): 0.923<br>Escavation cost (USD): 0.061<br>Turbine cost (USD): 0.076<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.17<br>Land cost (USD): 0.693<br>Water storage cost (USD/m3): 0.018<br>Water storage (km3): 6.355<br>Energy storage cost without cascade (USD/MWh): 17.097<br>Energy storage without cascade (TWh): 6.562<br>Energy storage with cascade (TWh): 51.412<br>Installed capacity costs (USD/GW): 1.238<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"29.40833333","86.20416667","4796.0","396.0","50.0","50.0","1.385148072","24.0","153.1259323","8.0","1929.408015","1.382599993","0.365321791","286.0179551","0.1255348489","0.9231853714","0.06056623976","0.07648164903","0.007756544854","0.1704070852","0.6926241211","0.01765269895","6.355190209","17.09700359","6.561749778","51.41232261","1.23839689","1.0"
"2.300167681","Latitude: 23.60416667<br>Longitude: 98.8125<br>Upper dam altitude (m): 1071<br>Minimum head (m): 591<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 1.384<br>Tunnel length (km): 18<br>Land requirement (km2): 224.731<br>River Strahler (1-12): 8<br>River discharge (m3/s): 3,578.756<br>River seasonality: 1.033<br>Annual variability: 0.323<br>Pump flow (m3/s): 191.647<br>Dam cost (USD): 0.395<br>Tunnel cost (USD): 0.33<br>Escavation cost (USD): 0.057<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 1.017<br>Water storage cost (USD/m3): 0.007<br>Water storage (km3): 19.167<br>Energy storage cost without cascade (USD/MWh): 4.606<br>Energy storage without cascade (TWh): 30.131<br>Energy storage with cascade (TWh): 60.338<br>Installed capacity costs (USD/GW): 0.642<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"23.60416667","98.8125","1071.0","591.0","100.0","100.0","1.384219787","18.0","224.7311111","8.0","3578.756354","1.032647511","0.3228003843","191.6465486","0.3946835827","0.3299001653","0.05668030718","0.0795978514","0.00795978514","0.1678008759","1.016510959","0.007240994564","19.16696326","4.60607681","30.13147252","60.3381562","0.6419389849","1.0"
"2.300490231","Latitude: 23.60416667<br>Longitude: 98.775<br>Upper dam altitude (m): 1050<br>Minimum head (m): 563<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.841<br>Tunnel length (km): 15<br>Land requirement (km2): 211.34<br>River Strahler (1-12): 8<br>River discharge (m3/s): 3,578.756<br>River seasonality: 0.934<br>Annual variability: 0.264<br>Pump flow (m3/s): 201.178<br>Dam cost (USD): 0.281<br>Tunnel cost (USD): 0.279<br>Escavation cost (USD): 0.057<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.956<br>Water storage cost (USD/m3): 0.007<br>Water storage (km3): 17.525<br>Energy storage cost without cascade (USD/MWh): 4.665<br>Energy storage without cascade (TWh): 26.346<br>Energy storage with cascade (TWh): 53.423<br>Installed capacity costs (USD/GW): 0.591<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"23.60416667","98.775","1050.0","563.0","100.0","100.0","0.8412030465","15.0","211.3403973","8.0","3578.756354","0.9335243507","0.2642443922","201.1778156","0.2813182518","0.2788035015","0.05713495074","0.0795978514","0.00795978514","0.1678008759","0.9559416534","0.007012946698","17.52475716","4.664778722","26.34641324","53.42347741","0.5912969647","1.0"
"2.31245063","Latitude: 28.25833333<br>Longitude: 99.64583333<br>Upper dam altitude (m): 2850<br>Minimum head (m): 848<br>Reservoir level variation (m): 100<br>Dam height (m): 100<br>Dam length (km): 0.402<br>Tunnel length (km): 27<br>Land requirement (km2): 57.353<br>River Strahler (1-12): 8<br>River discharge (m3/s): 1,448.561<br>River seasonality: 0.922<br>Annual variability: 0.225<br>Pump flow (m3/s): 133.565<br>Dam cost (USD): 0.148<br>Tunnel cost (USD): 0.493<br>Escavation cost (USD): 0.053<br>Turbine cost (USD): 0.08<br>Miscellaneous cost (USD): 0.008<br>Eletrotecnical cost (USD): 0.168<br>Land cost (USD): 0.259<br>Water storage cost (USD/m3): 0.015<br>Water storage (km3): 4.579<br>Energy storage cost without cascade (USD/MWh): 6.716<br>Energy storage without cascade (TWh): 10.084<br>Energy storage with cascade (TWh): 29.285<br>Installed capacity costs (USD/GW): 0.802<br>Installed capacity (GW): 1",,,,,-1,0,-1,,,"28.25833333","99.64583333","2850.0","848.0","100.0","100.0","0.4019942584","27.0","57.35262192","8.0","1448.561258","0.9218372093","0.2253787476","133.5649884","0.1481318173","0.4927277254","0.05343323142","0.0795978514","0.00795978514","0.1678008759","0.2594192163","0.01479071172","4.578558179","6.715892253","10.08356471","29.28500754","0.8015194693","1.0"
