file;url
biomasspotentials_cantonal-level.xlsx;https://www.envidat.ch/dataset/21599a72-b714-4d11-a748-644d0016fae9/resource/65b8fe6d-81ee-4b05-ab8c-c46ece1d3d25/download/
biomasspotentials_detailed_national-level.xlsx;https://www.envidat.ch/dataset/21599a72-b714-4d11-a748-644d0016fae9/resource/67ecd9fa-b920-40b0-a5ed-6209360fa645/download/
biomasssupplycost.docx;https://www.envidat.ch/dataset/21599a72-b714-4d11-a748-644d0016fae9/resource/d20fa98a-3fcc-4ada-ab31-c302d0c26f9f/download/
domestic_biomass_potential_theoretic_sustainable_absolute-per-municipality.xlsx;https://www.envidat.ch/dataset/21599a72-b714-4d11-a748-644d0016fae9/resource/30bcdb8e-f0eb-4eb3-8d14-1456a416255d/download/
