nuts3;nuts2;bidding_zone
BG344;BG34;BG
BG411;BG41;BG
BG412;BG41;BG
BG413;BG41;BG
BG414;BG41;BG
BG415;BG41;BG
BG421;BG42;BG
BG422;BG42;BG
BG423;BG42;BG
BG424;BG42;BG
BG425;BG42;BG
CY000;CY00;CY
CZ010;CZ01;CZ
CZ020;CZ02;CZ
CZ031;CZ03;CZ
CZ032;CZ03;CZ
CZ041;CZ04;CZ
CZ042;CZ04;CZ
CZ051;CZ05;CZ
CZ052;CZ05;CZ
CZ053;CZ05;CZ
CZ063;CZ06;CZ
CZ064;CZ06;CZ
CZ071;CZ07;CZ
CZ072;CZ07;CZ
CZ080;CZ08;CZ
DE111;DE11;DE_LU
DE112;DE11;DE_LU
DE113;DE11;DE_LU
DE114;DE11;DE_LU
DE115;DE11;DE_LU
DE116;DE11;DE_LU
DE117;DE11;DE_LU
DE118;DE11;DE_LU
DE119;DE11;DE_LU
DE11A;DE11;DE_LU
DE11B;DE11;DE_LU
DE11C;DE11;DE_LU
DE11D;DE11;DE_LU
DE121;DE12;DE_LU
DE122;DE12;DE_LU
DE123;DE12;DE_LU
DE124;DE12;DE_LU
DE125;DE12;DE_LU
DE126;DE12;DE_LU
DE127;DE12;DE_LU
DE128;DE12;DE_LU
DE129;DE12;DE_LU
DE12A;DE12;DE_LU
DE12B;DE12;DE_LU
DE12C;DE12;DE_LU
DE131;DE13;DE_LU
DE132;DE13;DE_LU
DE133;DE13;DE_LU
DE134;DE13;DE_LU
DE135;DE13;DE_LU
DE136;DE13;DE_LU
DE137;DE13;DE_LU
DE138;DE13;DE_LU
DE139;DE13;DE_LU
DE13A;DE13;DE_LU
DE141;DE14;DE_LU
DE142;DE14;DE_LU
DE143;DE14;DE_LU
DE144;DE14;DE_LU
DE145;DE14;DE_LU
DE146;DE14;DE_LU
DE147;DE14;DE_LU
DE148;DE14;DE_LU
DE149;DE14;DE_LU
DE211;DE21;DE_LU
DE212;DE21;DE_LU
DE213;DE21;DE_LU
DE214;DE21;DE_LU
DE215;DE21;DE_LU
DE216;DE21;DE_LU
DE217;DE21;DE_LU
DE218;DE21;DE_LU
DE219;DE21;DE_LU
DE21A;DE21;DE_LU
DE21B;DE21;DE_LU
DE21C;DE21;DE_LU
DE21D;DE21;DE_LU
DE21E;DE21;DE_LU
DE21F;DE21;DE_LU
DE21G;DE21;DE_LU
DE21H;DE21;DE_LU
DE21I;DE21;DE_LU
DE21J;DE21;DE_LU
DE21K;DE21;DE_LU
DE21L;DE21;DE_LU
DE21M;DE21;DE_LU
DE21N;DE21;DE_LU
DE221;DE22;DE_LU
DE222;DE22;DE_LU
DE223;DE22;DE_LU
DE224;DE22;DE_LU
DE225;DE22;DE_LU
DE226;DE22;DE_LU
DE227;DE22;DE_LU
DE228;DE22;DE_LU
DE229;DE22;DE_LU
DE22A;DE22;DE_LU
DE22B;DE22;DE_LU
DE22C;DE22;DE_LU
DE231;DE23;DE_LU
DE232;DE23;DE_LU
DE233;DE23;DE_LU
DE234;DE23;DE_LU
DE235;DE23;DE_LU
DE236;DE23;DE_LU
DE237;DE23;DE_LU
DE238;DE23;DE_LU
DE239;DE23;DE_LU
DE23A;DE23;DE_LU
DE241;DE24;DE_LU
DE242;DE24;DE_LU
DE243;DE24;DE_LU
DE244;DE24;DE_LU
DE245;DE24;DE_LU
DE246;DE24;DE_LU
DE247;DE24;DE_LU
DE248;DE24;DE_LU
DE249;DE24;DE_LU
DE24A;DE24;DE_LU
DE24B;DE24;DE_LU
DE24C;DE24;DE_LU
DE24D;DE24;DE_LU
DE251;DE25;DE_LU
DE252;DE25;DE_LU
DE253;DE25;DE_LU
DE254;DE25;DE_LU
DE255;DE25;DE_LU
DE256;DE25;DE_LU
DE257;DE25;DE_LU
DE258;DE25;DE_LU
DE259;DE25;DE_LU
DE25A;DE25;DE_LU
DE25B;DE25;DE_LU
DE25C;DE25;DE_LU
DE261;DE26;DE_LU
DE262;DE26;DE_LU
